publishedAt,authorDisplayName,textDisplay,likeCount
2024-09-27T17:39:33Z,@firacriwis8059,"Menangis lah, kan kau juga manusia <br>Mana ada yang bisaaa<br>Berlarut - larut berpura-pura sempurna <br>Sampai kapankah jiwa yang bersedih.......",0
2024-09-27T17:37:26Z,@fitrimelani14,Padahal lagi gak galau. Tapi baca komen disini kok sediiih🤧🤧,0
2024-09-27T16:14:36Z,@RamaDhan-x8h,"Nad, saat ini umur aku udah 26 tahun, lagi usaha bangkit dari keterpurukan, skrg ga ada kerjaan, masalah datang bertubi2, mau survive pun di era skrg apalgi dalam posisi yang lagi ngerantau susah banget karna udah ga ada apa-apa ( materi ). Mau mengeluh ke orang tua, kasihaaann, mereka juga lgi susah di kampung. <br>Harus berusaha seorang diri di perantauan. Semoga aku kuat",0
2024-09-27T15:02:46Z,@septyandwicahya2858,Sedih gak bisa bedain lagunya 😭,0
2024-09-27T14:51:56Z,@lennym.p51,Lagu ni membuat hatiku tersayat lagi.<br>Lirik nya benar2 mewakili 😭😭,0
2024-09-27T13:39:41Z,@TrimardaniDanu,"berndya aku dengerin sambil berak sedih banget ini nangis dikit, lega",1
2024-09-27T13:51:37Z,@pashaciken,please 😭,1
2024-09-27T13:13:22Z,@fernandosarindat3903,Aya,0
2024-09-27T12:53:58Z,@nevinstar,Denger lagu ini malah keinget gw satu bulan lagi habis kontrak kerja,0
2024-09-27T12:42:18Z,@YukBisa-w9v,Vibes lagu rohani bgt ❤,0
2024-09-27T12:22:52Z,@yaudahaja821,belum mewing satu bulan..........,0
2024-09-27T12:15:55Z,@NabilaNursry-j4d,Entah di mana kamu sekarang..,0
2024-09-27T11:41:52Z,@danieltambunan3661,Keoooong km msh inget aku ga si?<br>Awal pertemuan kita di 28 Oktober 2023,0
2024-09-27T11:33:38Z,@HexaMartinus,youtuber yang video nya Puluhan Jutaan yang nonton tapi subscriber hanya 1%,0
2024-09-27T09:38:53Z,@nasharuliman6375,"jgn kata satu bulan , satu tahun pun masih sakit 😂",0
2024-09-27T09:18:52Z,@nuraini5639,The next opi andaresta masa kini,0
2024-09-27T09:08:29Z,@radiologirsuadhyaksa5556,saya kesini gara2 temen saya nyanyi di ultah RS Adhyaksa,0
2024-09-27T08:36:34Z,@Its_Shella.2000,Semoga aku bisa ngelupain dia 🙃,1
2024-09-27T06:41:17Z,@hellosaga4466,SIALLLL TERINGAT 💔,0
2024-09-27T05:48:36Z,@sahaeta8911,"sebelum September berakhir aku cuma mau bilang , berbahagialah kau dengannya biarkan aku di sini sendiri sambil memperbaiki kesalahan-kesalahanku waktu itu.",0
2024-09-27T04:31:31Z,@suhaib_official-e3i,Nggak cewek atau cowok sama aja tergantung orang nya 😅,0
2024-09-27T03:59:39Z,@habibah6774,sampe sebel sm ajil ditto gara2 video klip ini😂,0
2024-09-27T01:01:50Z,@AGYR08,"Lagu ga bermutu sampah, bikin hampir smua cwe playing victim merasa depresi ditinggal cwo nya. Pdahal selama jadian ngatur bnyk gaya ngamuk2 ga jelas, giliran si cwo udh ga mau malah drama bombay <a href=""http://www.youtube.com/results?search_query=%23cwet"">#cweT</a>.O.L.O.L 🖕🏻🖕🏻🖕🏻",0
2024-09-26T22:54:21Z,@ulmanaraheda3803,"migel, aku blm rela, aku blm ikhlas, aku blm terima. kamu juga gitu ga?",0
2024-09-26T22:22:46Z,@PianSupiandi-x7m,Rizky?,0
2024-09-26T18:03:22Z,@wahyuqiromynurekatama,WIB BANGET JAM SEGINI? 😂,0
2024-09-26T15:17:26Z,@amar.ilibas,2019 hidup dititik terendah<br>2020 recovery<br>2021 recovery<br>2022 masih recovery<br>2023 hampir selesai recovery<br>2024 jatuh lagi dan recovery lagi<br>2023 kerj,0
2024-09-26T15:12:53Z,@OzverligSportwear,"Sudah adakah yang gantikanku?<br>Menjadi vendor dari jersey-mu? <br>Kau minta revisi mulu, minta ganti ini itu, dan minta selesai buru-buru😭",0
2024-09-26T14:52:51Z,@rianfah5920,"Belum ada satu bulan, mancis tokai gua udah berpindah kelain kantong😭",0
2024-09-26T14:24:59Z,@candrairawan45,"liriknya menggambarkan momennya terlalu detil mbak bernard, jadi kurang relate ke semua pendengar. sekedar saran 🙏🏼",0
2024-09-26T14:02:27Z,@annisasukma5448,Ngena bgt s liriknya,0
2024-09-26T13:58:02Z,@poiuyttyuiop356,"edan, berndya menuliskan fase ini setalah saya mengalaminya 10 tahun silam.<br>tapi pada faktanya lelaki pun merasakan hancurnya sebuah perpisahan, cara mereka memang tidak se ekspresif wanita namun lihatlah cara mereka menatap dunia dan garis senyum yg terkesan dipaksakan itu yg mana nyatanya mereka sedang remuk redam seakan ingin meledak. insan mana yang mampu menghadapi getirnya perpisahan?",0
2024-09-26T13:10:35Z,@chikaputri4381,Hai,0
2024-09-26T13:10:26Z,@chikaputri4381,Lagu apa ini candu bgt,0
2024-09-26T11:53:05Z,@EbenEzer-k2t,"Mau 5 tahun jangan ada dulu yah LFYS ,tunggu aku pulang buat halalin",0
2024-09-26T10:33:32Z,@bismilianura_6068,Nyesek bngt sihh,1
2024-09-26T08:49:13Z,@verdianagenghimawan6730,Bukan masalah cewe cowo ini,0
2024-09-26T08:41:07Z,@masattayatv5752,"cwo bgtu di awal , menyesal sakit dan menahan rindu yang menyiksa belakangan",0
2024-09-26T07:27:56Z,@MeyshaMahen,tepat satu bulan kau meninggalkanku &quot;Namun kau tampak baik saja sedangkan disini aku hampir gila&quot; jogjakarta 7 maret 1990🥺,0
2024-09-26T07:11:18Z,@wawandj774,Mantaf liriknya,0
2024-09-26T07:10:23Z,@wawandj774,Mantafffff,0
2024-09-26T07:07:06Z,@diniputrimandasari2925,lagunya bagus. tapi mengingatkanku pada suamiku yg ketauan jalan sama cewe lain 😭😭😭😭,0
2024-09-26T06:57:00Z,@DorothyTaylor-c4j,Hand Cove,0
2024-09-26T06:37:54Z,@AlifRizki-j8u,Apah sih sakit hati,0
2024-09-26T06:34:34Z,@ybfad1761,Apa kabar nad? Sehat sehat yaa,0
2024-09-26T05:49:12Z,@renikemerly3598,"Kamu bilang akhir akhir ini ,kamu dengerin bernadya ,apalagi judul&quot;satu bulan.&quot; Dan kata kamu rasanya pengen nangis.<br><br>Pengen banget aku bilang kekamu.<br> <br>&quot;KAMU TELAT GALAUNYA,AKU UDAH MENETAP DI LAGU INI SEJAK KITA BELUM JADIAN ,SAMPAI KITA PUTUS,LAGU INI JADI TEMPAT NANGIS,BUKAN SEKEDAR PENGEN NANGIS.&quot;<br><br>kamu juga telat datangnya ,perasaan aku udah baik baik aja,bulan lalu aku masi berharap sekarangnya udah nggak punya perasaan.<br><br>Satu satunya perasaan aku sekarang ,kayaknya aku kurusan ,itu doang.",0
2024-09-26T05:30:18Z,@analativach1869,"Belum ada satu bulan<br>Ku yakin masih ada sisa wangiku di bajumu<br>Namun, kau tampak baik saja<br>Bahkan senyummu lebih lepas<br>Sedang aku di sini hampir gila<br>Kita tak temukan jalan<br>Sepakat akhiri setelah beribu debat panjang<br>Namun kau tampak baik saja<br>Bahkan senyummu lebih lepas<br>Sedang aku di sini belum terima<br>Bohongkah tangismu sore itu di pelukku?<br>Nyatanya pergiku pun tak lagi mengganggumu<br>Apa sudah ada kabar lain yang kautunggu?<br>Sudah adakah yang gantikanku<br>Yang khawatirkanmu setiap waktu<br>Yang cerita tentang apa pun sampai hal-hal tak perlu<br>Kalau bisa, jangan buru-buru<br>Kalau bisa, jangan ada dulu<br>Baru lewat satu bulan<br>Kemarin ulang tahunku tak ada pesan darimu<br>Tak apa, mungkin kau lupa<br>Atau sudah ada hati yang harus kaujaga<br>Sudah adakah yang gantikanku<br>Yang kauantar-jemput setiap Sabtu<br>Yang selalu ingatkan untuk pakai sabuk pengamanmu<br>Kalau bisa, jangan buru-buru<br>Sudah adakah yang gantikanku<br>Yang khawatirkanmu setiap waktu<br>Yang cerita tentang apa pun sampai hal-hal tak perlu<br>Kalau bisa, jangan buru-buru<br>Kalau bisa, jangan ada dulu<br>Hu-hu-uh<br>Hu-uh",0
2024-09-26T04:09:40Z,@ramadhannurmuhammad2930,"reality of life,",0
2024-09-26T02:23:45Z,@wibowonuraji,"Cowo lebih rasional mba, terlihat baik baik saja tapi itu juga masuk kedalam fase nyembunyiin luka sebenarnya ketika nanti semua sudah terlambat. Karena penyesalan selalu dibelakang.",0
2024-09-26T02:15:55Z,@gedesugiantara4666,"belum ada satu bulan, kuyakin masih ada sisa gaji direkeningku :(",0
2024-09-26T01:39:43Z,@MohamadEkoPrasetyo,Anjir lagunya bikin nostalgia jaman sma...bumiayu 2012/2013  😅😅 KISSY MEI FAICHA  .ngga tau sekarang kabarnya gimana...??,1
2024-09-26T00:29:45Z,@panduaselsha7190,Related.,0
2024-09-25T23:32:56Z,@ainundani3340,Kak lagunya bner2 ngebawa ke masa2 after break up kala ituuu,0
2024-09-25T17:32:38Z,@mhmdilham2486,"jangan pernah menggunakan seseorang, untuk melupakan seseorang",0
2024-09-25T15:57:32Z,@PtRealmetbk,Lelaki taksekuat itu<br>Tapi lelaki tidak bercerita,0
2024-09-25T14:37:14Z,@galuhlodaya,Ternyata sudah keliatan siapa kan pelaku nya..yang lebih sakit lagi adalah dia gak ada penjelasan sama sekali,0
2024-09-25T13:44:39Z,@WhatZitTooya_,Belum mewing satu bulan 😢,0
2024-09-25T13:17:03Z,@LuthfialfaRizi-d5u,😍😍,0
2024-09-25T13:11:05Z,@AxryIIgusion,baru putus sehari eh besoknya up story sama cowo baru nya,0
2024-09-25T12:57:29Z,@sitikhansasalsabila2610,i miss him so much,0
2024-09-25T12:12:40Z,@lukmanhakimdj8545,Perkumpulan orng yang di putusin 😂,0
2024-09-25T11:02:52Z,@MayaDamayanti-w2v,BERNADYAA INI TERLALU KENCENG MUTERNYA,0
2024-09-25T08:21:44Z,@Widyaningsih-un7vh,owalah tiang kek gini,0
2024-09-25T08:01:59Z,@m.ekoariyanto1653,Kisah cinta org berada,0
2024-09-25T07:37:33Z,@pertjikanfilsafat,Vibes nya kaya denger lagu Melly Goeslaw 😅,0
2024-09-25T07:17:27Z,@SherenElsyaputri,nyeblak,0
2024-09-25T06:51:21Z,@prastioprojects,"Pas muncul, jadi inget suara tere..",0
2024-09-25T05:12:37Z,@yunifajriani2004,sudah ku lewati dengan menjadi versi terbaik diriku :),0
2024-09-25T04:23:08Z,@CariTahuAja-st4wq,"Lagu ini membuat saya mengingat dia dan sadar betapa dia begitu menyayangi saya,, saat saya jatuh terburuk dan betapa jahatnya saya dia tetap mendampingi saya dan menemani saya disaat teepuruk",0
2024-09-25T02:35:46Z,@amarylispink368,"Prnah punya mantan dulu, 1 tahun kurg lebih pacaran. Tbtb dia ngajak putus dg hampir tanpa alesan. Patah hati ku 😅.<br>Dsitu aku gak terima dan yah kata tmenku aku tu sampe sering bengong ky org linglung. <br>Akhirnya aku minta balikan ga mau putus dan dia pun menerima, <br>Kami jalani kurleb sebulan trnyata tidak senyaman dulu lagi. <br>Galau sampe akhirnya aku sendiri minta putus, herannya dia gak terima dan gak mau putus 😅 <br><br>Haha Lucu sih inget moment itu. <br><br>Tp akhirnya kami memutuskan jalan masing2, namun buat perjanjian klo masih jaga hubungan baik dan bakal sering ketemu (justru disini salahnya).<br>2 mgu dia udah jalan dg yg lain, sakit liatnya serasa di hianati tp mau marah gimna krna memang gak ada hubungan lagi. <br><br>Skrg kami udah nikah dg pasangan masing2. Alhamdulillah. Dunia baik2 saja. Bumi masih berputar dan cerita itu hanya menjadi kenangan.",0
2024-09-25T02:27:11Z,@JaredDodd-d1e,Dickinson Stream,0
2024-09-25T02:13:25Z,@andihidayaturrohman4012,Bisa bissnya yang berjuang mati matian selama 2  Tahun kalah sama yang baru kenal sebulan 😂,0
2024-09-25T01:09:35Z,@AnaOke-y2m,Ternyata lagu ini sudah 1 tahun lalu,0
2024-09-25T00:54:59Z,@anggundevaf1803,"Masih seperti setahun lalu nad, gue masi kangen dia pengen dia balikk, tapi dia uda punya yang lain, guee harus apaa",0
2024-09-25T00:41:55Z,@DelfiMarlinda,🥲,0
2024-09-25T00:07:18Z,@muhammadrissa,Syukur Alhamdulillah kamu baik2 aja,0
2024-09-25T00:02:56Z,@HeidiPinello-m3g,Block Keys,0
2024-09-24T19:24:59Z,@adiebhent1699,_,0
2024-09-24T17:57:59Z,@allfckgxorzz,this song is based on my true f*cking story.,0
2024-09-24T16:22:17Z,@aldipribadi3172,"NPM , , , minimal pergi kasih alasan jelaslah,belum juga sebulan dah upload foto ama cowo lain aja, ,bangke2, , ,apalah guna 8 tahun kita tu??<br><br><a href=""http://www.youtube.com/results?search_query=%23wba"">#WBA</a>",0
2024-09-24T15:47:10Z,@unzilatussangadah3440,Kebanyakan laki2 pasti kaya gitu😢,0
2024-09-24T14:53:00Z,@nurifrakhumaera8474,Pov : punya mantan gemini,0
2024-09-24T14:34:55Z,@EkaWindyoktaria,Ah... Hati ku terenyuh 😢,0
2024-09-24T14:27:43Z,@labibirfan8251,zakir ah,0
2024-09-24T14:22:50Z,@lilisrahmawati6850,😢😢😢,0
2024-09-24T14:21:54Z,@nurfitriaprabawati3386,"bernandya, minggu lalu aku dengerin lagu ini sama dia, pasangan yang bersamaku 2tahun lebih. Tapi sekarang kita udah gabisa bareng dan sekarang waktu dengerin lagu ini sedih bgtmakin keinget pas dengerin bareng dia🥲",1
2024-09-24T14:02:41Z,@ftwt0424,"nad, ujian menuju pernikahan trnyta adaaaa aja ya😪",0
2024-09-24T13:29:40Z,@MasyaSahara,18 thn blm pernah ngerasain break up kaya gmna 😮 kesini cmn mampir karena sound tiktok 😮,0
2024-09-24T13:28:11Z,@BangsingBangsing,😭😭😭😭😭,0
2024-09-24T12:51:22Z,@SLIPYOGS,Sopan banget suaranya masuk telinga gw,0
2024-09-24T12:01:21Z,@cahkenteng,Ditinggal tanpa pamitan😅,0
2024-09-24T11:54:03Z,@upipie8667,"Sudah 6 tahun berjalan, bahkan sekarang pun sudah 4 tahun bersama dengan pria yg dipilih untuk menjadi pasangan hidupku.<br>Tapi bayang² kebersamaan kita tidak pernah hilang dari ingatan.<br>Semoga kita bahagia dengan apa yg ditakdirkan tuhan...<br>Teruntuk kamu, arjuna ku dulu WS 🥲",0
2024-09-24T11:50:51Z,@MRizalHabibi,the song is trully masterpiece 👍,0
